Unique ID,Batch ID,Recipe Name,Batch Start Time,Batch End Time,Duration,Dosing Accuracy,Production Line,ASA-D to Melt Tank (kg),NaOH to Melt Tank (kg),EDTA to Hold Tank (kg),EHDP to Hold Tank (kg),Betaine (kg),AOS (kg),Soap to Mixer (kg),Brine (kg),Mixture TO Mixer (kg),FC AITD (kg),FC Water (kg),DPG Dosage (kg),"Melt Temp, (max) (ｰC)",NaOH %CV (average),Average Naoh flow rate (kg/min),Batch time [min],Rework Used (kg),Average Mixture flow rate,F/C temperature,F/C temperature (Max) (ｰC),Mixture Pump speed (average) (%),Mixture Source,Total Preps Charge Time,F/C Time,Dry Time (after Mixture-Transfer to),Total mixer cycle time,Temp after FC (ｰC) (after Steam Out),Temp at end of mix time (ｰC),Temp at drop (ｰC),Mixture mixer agitator speed,Amps at end of mix time ,Load after FC (Amps) (after Steam Out),Mixer Water Addition,Mixer Air Flow In Average,Glycol Outlet Temp (ｰC),Roll Speed (RPM),Glycol Flow  (mｳ/h),Glycol Valve Output (%),Free fatty acid,Active,Approved,Speed (rpm)+D56,Average Head Pressure (bar),Color L,Color A,Color B,pH,Moisture
1,A2-01,Recipe_A,2018-06-04 20:55:00,2018-06-05 01:59:00,304.18,2.87,LINE_2,487.0,37.6,1.77,1.36,325.28,,344.81,,,,,,119.6,58.18,3.24,46.22,-4.0,161.31,153.66,189.04,54.04,A2_STRIPPER_OUT,60.85,18.55,36.93,141.6,121.16,119.53,121.87,85.0,120.62,,,,,-3.46,4.56,35.04,,27.52,NO,,,4.82,95.79,0.13,4.863,7.01
2,A2-02,Recipe_A,2018-06-05 00:34:00,2018-06-05 21:05:00,1231.22,3.41,LINE_2,491.0,37.6,1.71,1.35,325.32,,344.81,,2773.95,200.4,180.4,,118.28,95.24,3.6,47.68,-4.5,72.82,158.19,207.23,30.71,A2_STRIPPER_OUT,9.0,38.83,19.1,87.68,116.84,115.83,115.4,85.0,114.82,,,,,-1.06,4.56,35.9,,26.8,NO,,,5.56,95.75,0.13,4.871,6.98
3,A2-01,Recipe_A,2018-06-05 21:43:00,2018-06-06 01:30:00,227.1,3.17,LINE_2,493.0,37.67,1.74,1.35,327.6,,344.93,,3123.95,215.2,180.9,,119.33,81.1,4.17,53.92,-4.0,155.94,145.02,200.66,55.26,A2_STRIPPER_OUT,8.57,20.07,21.08,73.07,120.92,119.96,120.24,85.0,122.63,,,,,-4.82,4.56,34.97,,29.15,NO,,,4.85,95.79,0.13,4.788,6.94
4,A2-02,Recipe_A,2018-06-05 23:46:00,2018-06-06 03:46:00,239.45,3.05,LINE_2,492.0,37.72,1.75,1.35,327.47,,345.56,,2896.2,202.2,181.1,,119.89,55.82,4.09,49.55,-2.5,129.27,159.91,186.48,49.55,A2_STRIPPER_OUT,9.2,22.63,12.63,57.92,117.89,116.26,116.38,85.0,119.49,,,,,-5.2,4.56,34.83,,26.51,NO,,,5.42,95.79,0.13,4.794,7.05
5,A2-03,Recipe_A,2018-06-06 00:40:00,2018-06-06 06:16:00,335.62,3.23,LINE_2,487.0,37.68,1.74,1.35,329.07,,345.06,,3083.4,212.6,180.3,,119.93,61.61,4.05,147.27,-3.5,135.43,175.79,212.91,46.78,A2_STRIPPER_OUT,8.45,22.8,12.63,61.98,120.63,119.53,119.63,85.0,118.24,,,,,-4.86,4.56,34.7,,27.62,YES,,,5.12,92.74,0.91,4.81,7.0
6,A2-04,Recipe_A,2018-06-06 05:03:00,2018-06-06 18:26:00,802.77,7.84,LINE_2,492.0,37.65,1.73,0.97,328.48,,344.81,,3008.2,205.2,181.3,,119.54,64.86,0.06,711.43,-2.5,123.52,144.66,196.49,46.25,A2_STRIPPER_OUT,16.88,24.35,14.3,75.63,120.78,119.96,120.97,85.0,125.68,,,,,-4.29,4.56,33.55,,27.66,YES,,,5.36,92.75,0.97,4.811,6.95
7,A2-05,Recipe_A,2018-06-06 16:55:00,2018-06-06 20:24:00,209.8,3.58,LINE_2,491.5,37.62,1.68,1.35,325.32,,345.24,,2975.15,204.4,180.7,,118.14,52.35,3.36,86.8,350.5,89.75,125.97,203.62,33.4,A2_STRIPPER_OUT,9.97,33.2,12.58,76.47,118.52,119.58,118.49,85.0,143.85,,,,,-5.04,4.56,33.81,,28.01,NO,,,5.45,87.13,0.39,4.782,7.27
8,A2-06,Recipe_A,2018-06-06 18:21:00,2018-06-06 21:39:00,197.17,3.55,LINE_2,487.0,37.66,1.68,1.35,327.77,,345.12,,3054.7,220.2,181.1,,117.73,47.57,3.47,70.0,351.0,133.1,145.53,180.71,49.3,A2_STRIPPER_OUT,9.57,23.03,13.17,60.38,124.53,123.18,122.77,85.0,132.89,,,,,0.76,4.56,33.6,,28.7,NO,,,5.09,89.52,0.41,4.774,6.95
9,A2-01,Recipe_A,2018-06-06 19:37:00,2018-06-07 00:27:00,290.72,3.51,LINE_2,488.0,37.67,1.69,1.36,324.18,,345.06,,3112.8,125.4,178.2,,118.11,50.32,3.08,84.85,352.5,,,,,,9.8,,18.37,103.3,119.29,117.8,118.03,85.0,89.59,,,,,-5.66,4.56,33.78,,27.64,YES,,,4.94,88.18,0.99,4.7669999999999995,7.02
10,A2-02,Recipe_A,2018-06-06 21:02:00,2018-06-07 01:51:00,289.63,4.14,LINE_2,489.5,37.7,1.68,1.4,320.5,,344.93,,2998.85,206.4,186.1,,118.15,53.06,3.77,125.22,349.0,131.37,176.46,203.86,47.18,A2_STRIPPER_OUT,9.58,22.83,13.22,64.82,120.39,120.2,120.95,85.0,121.9,,,,,-2.06,4.56,33.66,,27.6,YES,,,5.19,93.19,0.73,4.791,6.95
